Gene ID,Gene symbol,Description,Scientific name,Common name,RefSeq Transcript accessions,RefSeq Protein accessions,SPARCLE ID,Curation Status,RefseqSelect,Default sequence
1605,DAG1,dystroglycan 1,Homo sapiens,human,NM_004393.6,NP_004384.5,,curated,RefseqSelect,default-seq
13138,Dag1,dystroglycan 1,Mus musculus,house mouse,NM_001276482.1,NP_001263411.1,,curated,RefseqSelect,default-seq
114489,Dag1,dystroglycan 1,Rattus norvegicus,Norway rat,NM_053697.1,NP_446149.1,,curated,RefseqSelect,default-seq
281439,DAG1,dystroglycan 1,Bos taurus,cattle,XM_024982387.1,XP_024838155.1,,model,,default-seq
286829,dag1,dystroglycan 1,Danio rerio,zebrafish,NM_173274.1,NP_775381.1,,curated,,default-seq
460372,DAG1,dystroglycan 1,Pan troglodytes,chimpanzee,XM_001164754.6,XP_001164754.1,,model,,default-seq
476623,DAG1,dystroglycan 1,Canis lupus familiaris,dog,NM_001033992.1,NP_001029164.1,,curated,,default-seq
549272,dag1,dystroglycan 1,Xenopus tropicalis,tropical clawed frog,NM_001016518.2,NP_001016518.1,,curated,,default-seq
706179,DAG1,dystroglycan 1,Macaca mulatta,Rhesus monkey,XM_015130798.2,XP_014986284.1,,model,,default-seq
100009278,DAG1,dystroglycan 1,Oryctolagus cuniculus,rabbit,NM_001101700.1,NP_001095170.1,,curated,,default-seq
100027899,DAG1,dystroglycan 1,Monodelphis domestica,gray short-tailed opossum,XM_001378027.5,XP_001378064.2,,model,,default-seq
100049058,DAG1,dystroglycan 1,Gallus gallus,chicken,NM_001097540.2,NP_001091009.2,,curated,,default-seq
100053150,DAG1,dystroglycan 1,Equus caballus,horse,XM_001497613.6,XP_001497663.2,,model,,default-seq
100087939,DAG1,dystroglycan 1,Ornithorhynchus anatinus,platypus,XM_029049956.2,XP_028905789.1,,model,,default-seq
100174781,DAG1,dystroglycan 1,Felis catus,domestic cat,NM_001130839.1,NP_001124311.1,,curated,,default-seq
100228833,DAG1,dystroglycan 1,Taeniopygia guttata,zebra finch,XM_030283531.3,XP_030139391.1,,model,,default-seq
100395530,DAG1,dystroglycan 1,Callithrix jacchus,white-tufted-ear marmoset,XM_035275510.2,XP_035131401.2,,model,,default-seq
100447405,DAG1,dystroglycan 1,Pongo abelii,Sumatran orangutan,XM_003776246.4,XP_003776294.4,,model,,default-seq
100475723,DAG1,dystroglycan 1,Ailuropoda melanoleuca,giant panda,XM_011226639.3,XP_011224941.1,,model,,default-seq
100547027,DAG1,dystroglycan 1,Meleagris gallopavo,turkey,XM_010718333.2,XP_010716635.1,,model,,default-seq
100565815,dag1,dystroglycan 1,Anolis carolinensis,green anole,XM_003217546.3,XP_003217594.1,,model,,default-seq
100579781,DAG1,dystroglycan 1,Nomascus leucogenys,northern white-cheeked gibbon,XM_003257064.3,XP_003257112.1,,model,,default-seq
100620392,DAG1,dystroglycan 1,Sus scrofa,pig,XM_021068740.1,XP_020924399.1,,model,,default-seq
100675937,DAG1,dystroglycan 1,Loxodonta africana,African savanna elephant,XM_003409654.2,XP_003409702.1,,model,,default-seq
100706865,dag1,dystroglycan 1,Oreochromis niloticus,Nile tilapia,XM_005469760.4,XP_005469817.1,,model,,default-seq
100734382,Dag1,dystroglycan 1,Cavia porcellus,domestic guinea pig,XM_003476671.4,XP_003476719.1,,model,,default-seq
100762216,Dag1,dystroglycan 1,Cricetulus griseus,Chinese hamster,XM_003500350.5,XP_003500398.1,,model,,default-seq
100922973,DAG1,dystroglycan 1,Sarcophilus harrisii,Tasmanian devil,XM_031959184.1,XP_031815044.1,,model,,default-seq
100956236,DAG1,dystroglycan 1,Otolemur garnettii,small-eared galago,XM_012811930.2,XP_012667384.1,,model,,default-seq
100987680,DAG1,dystroglycan 1,Pan paniscus,pygmy chimpanzee,XM_003818856.4,XP_003818904.3,,model,,default-seq
101020285,DAG1,dystroglycan 1,Papio anubis,olive baboon,XM_009200764.3,XP_009199028.1,,model,,default-seq
101048670,DAG1,dystroglycan 1,Saimiri boliviensis,Bolivian squirrel monkey,XM_003936659.3,XP_003936708.1,,model,,default-seq
101078584,dag1,dystroglycan 1,Takifugu rubripes,torafugu,XM_029826227.1,XP_029682087.1,,model,,default-seq
101103515,DAG1,dystroglycan 1,Ovis aries,sheep,XM_027957634.2,XP_027813435.1,,model,,default-seq
101138300,DAG1,dystroglycan 1,Gorilla gorilla gorilla,western lowland gorilla,XM_004034145.4,XP_004034193.4,,model,,default-seq
101165049,dag1,dystroglycan 1,Oryzias latipes,Japanese medaka,XM_004069021.4,XP_004069069.1,,model,,default-seq
101275482,DAG1,dystroglycan 1,Orcinus orca,killer whale,XM_004283948.3,XP_004283996.1,,model,,default-seq
101317529,DAG1,dystroglycan 1,Tursiops truncatus,common bottlenose dolphin,XM_033864959.1,XP_033720850.1,,model,,default-seq
101358535,LOC101358535,dystroglycan 1,Trichechus manatus latirostris,Florida manatee,XM_004368534.1,XP_004368591.1,,model,,default-seq
101385379,DAG1,dystroglycan 1,Odobenus rosmarus divergens,Pacific walrus,XM_004399244.1,XP_004399301.1,,model,,default-seq
101403714,LOC101403714,dystroglycan 1,Ceratotherium simum simum,southern white rhinoceros,XM_004419705.2,XP_004419762.1,,model,,default-seq
101446907,DAG1,dystroglycan 1,Dasypus novemcinctus,nine-banded armadillo,XM_004451877.4,XP_004451934.2,,model,,default-seq
101468018,dag1,dystroglycan 1,Maylandia zebra,zebra mbuna,XM_004558974.3,XP_004559031.1,,model,,default-seq
101526389,DAG1,dystroglycan 1,Ochotona princeps,American pika,XM_058678674.1,XP_058534657.1,,model,,default-seq
101542779,DAG1,dystroglycan 1,Sorex araneus,European shrew,XM_055135977.1,XP_054991952.1,,model,,default-seq
101575623,Dag1,dystroglycan 1,Octodon degus,degu,XM_004625097.3,XP_004625154.1,,model,,default-seq
101595565,Dag1,dystroglycan 1,Jaculus jaculus,lesser Egyptian jerboa,XM_045136411.1,XP_044992346.1,,model,,default-seq
101630794,DAG1,dystroglycan 1,Condylura cristata,star-nosed mole,XM_004676161.2,XP_004676218.1,,model,,default-seq
101664189,DAG1,dystroglycan 1,Echinops telfairi,small Madagascar hedgehog,XM_004715163.4,XP_004715220.1,,model,,default-seq
101677695,DAG1,dystroglycan 1,Mustela putorius furo,domestic ferret,XM_004760648.3,XP_004760705.1,,model,,default-seq
101714190,Dag1,dystroglycan 1,Heterocephalus glaber,naked mole-rat,XM_004834039.3,XP_004834096.2,,model,,default-seq
101789918,DAG1,dystroglycan 1,Anas platyrhynchos,mallard,XM_038185745.1,XP_038041673.1,,model,,default-seq
101810430,DAG1,dystroglycan 1,Ficedula albicollis,Collared flycatcher,XM_005052884.2,XP_005052941.1,,model,,default-seq
101838330,Dag1,dystroglycan 1,Mesocricetus auratus,golden hamster,XM_013116968.3,XP_012972422.1,,model,,default-seq
101872819,LOC101872819,dystroglycan 1,Melopsittacus undulatus,budgerigar,XM_005141571.3,XP_005141628.2,,model,,default-seq
101916670,DAG1,dystroglycan 1,Falco peregrinus,peregrine falcon,XM_005229922.4,XP_005229979.2,,model,,default-seq
