,WELL ID,CellLine,CellCount,Dilution,SampleCat,HPs,ZsG,VSVG,Dox,Titer,ZsG+%,Cells%,SingleCells%,ZsG+_count,
Specimen_003_D8_D08_041.fcs,D08,B-2-1,2.29E+04,1875,HPs + ZsG + V,Y,Y,Y,N,9.99E6,3.49,71.8,96.3,1061,
Specimen_003_D9_D09_042.fcs,D09,A-2-2,2.29E+04,3,HPs + ZsG,Y,Y,N,N,4992,1.09,76.6,96.6,330,
Specimen_003_D10_D10_043.fcs,D10,A-2-2,2.29E+04,15,HPs + ZsG + dox,Y,Y,N,Y,36869,1.61,75.6,97.4,490,
Specimen_003_D11_D11_044.fcs,D11,A-2-2,2.29E+04,375,HPs + VSV G,Y,N,Y,N,1.02E6,1.78,74.8,96.4,539,
Specimen_003_D12_D12_045.fcs,D12,A-2-2,2.29E+04,1875,HPs + VSV G + dox,Y,N,Y,Y,3.72E6,1.30,75.4,96.6,394,
Specimen_003_E1_E01_046.fcs,E01,B-2-2,2.29E+04,3,NoHPs,N,N,N,Y,0,0,82.4,97.5,0,
Specimen_003_E2_E02_047.fcs,E02,B-2-2,2.29E+04,3,"HPs, No dox",Y,N,N,N,4626,1.01,80.3,97.4,305,
Specimen_003_E3_E03_048.fcs,E03,B-2-2,2.29E+04,15,HPs + dox,Y,N,N,Y,9847,0.43,81.4,97.3,129,
Specimen_003_E4_E04_049.fcs,E04,B-2-2,2.29E+04,3,HPs + ZsG,Y,Y,N,N,4580,1.00,82.2,97.8,302,
Specimen_003_E5_E05_050.fcs,E05,B-2-2,2.29E+04,15,HPs + ZsG + dox,Y,Y,N,Y,26335,1.15,81.5,97.3,347,
Specimen_003_E6_E06_051.fcs,E06,B-2-2,2.29E+04,375,HPs + VSV G,Y,N,Y,N,1.23E6,2.14,81.2,97.8,647,
Specimen_003_E7_E07_052.fcs,E07,B-2-2,2.29E+04,1875,HPs + VSV G + dox,Y,N,Y,Y,1.69E6,0.59,80.1,97.0,180,
Specimen_003_E8_E08_053.fcs,E08,B-2-2,2.29E+04,1875,HPs + ZsG + V,Y,Y,Y,N,8.96E6,3.13,78.8,96.0,947,
Mean,-,-,-,-,-,-,-,-,-,1.92E6,1.48,76.0,96.5,449,
SD,-,-,-,-,-,-,-,-,-,3.64E6,1.17,3.57,0.94,355,
